,model,accuracy,k,group
0,GAT_E-GAT,0.321,0,1
1,GAT_RGCN,0.258,0,1
2,GCN_E-GAT,0.32,0,1
3,GCN_RGCN,0.271,0,1
4,Param_E-GAT,0.309,0,1
5,Param_RGCN,0.308,0,1
6,GAT_E-GAT,0.102,0,2
7,GAT_RGCN,0.097,0,2
8,GCN_E-GAT,0.1,0,2
9,GCN_RGCN,0.111,0,2
10,Param_E-GAT,0.093,0,2
11,Param_RGCN,0.098,0,2
12,GAT_E-GAT,0.081,0,3
13,GAT_RGCN,0.109,0,3
14,GCN_E-GAT,0.106,0,3
15,GCN_RGCN,0.11900000000000001,0,3
16,Param_E-GAT,0.11,0,3
17,Param_RGCN,0.091,0,3
0,GAT_E-GAT,0.3516666666666666,5,1
1,GAT_RGCN,0.313,5,1
2,GCN_E-GAT,0.361,5,1
3,GCN_RGCN,0.315,5,1
4,Param_E-GAT,0.35933333333333334,5,1
5,Param_RGCN,0.332,5,1
6,GAT_E-GAT,0.127,5,2
7,GAT_RGCN,0.11733333333333333,5,2
8,GCN_E-GAT,0.12,5,2
9,GCN_RGCN,0.14966666666666667,5,2
10,Param_E-GAT,0.12866666666666668,5,2
11,Param_RGCN,0.116,5,2
12,GAT_E-GAT,0.103,5,3
13,GAT_RGCN,0.12033333333333333,5,3
14,GCN_E-GAT,0.1376666666666667,5,3
15,GCN_RGCN,0.12933333333333333,5,3
16,Param_E-GAT,0.10966666666666668,5,3
17,Param_RGCN,0.10399999999999998,5,3
0,GAT_E-GAT,0.39433333333333337,10,1
1,GAT_RGCN,0.3426666666666667,10,1
2,GCN_E-GAT,0.3873333333333333,10,1
3,GCN_RGCN,0.35100000000000003,10,1
4,Param_E-GAT,0.39566666666666667,10,1
5,Param_RGCN,0.3453333333333333,10,1
6,GAT_E-GAT,0.15133333333333332,10,2
7,GAT_RGCN,0.16833333333333333,10,2
8,GCN_E-GAT,0.14,10,2
9,GCN_RGCN,0.18633333333333335,10,2
10,Param_E-GAT,0.17133333333333334,10,2
11,Param_RGCN,0.13533333333333333,10,2
12,GAT_E-GAT,0.149,10,3
13,GAT_RGCN,0.15100000000000002,10,3
14,GCN_E-GAT,0.14766666666666664,10,3
15,GCN_RGCN,0.17033333333333334,10,3
16,Param_E-GAT,0.12933333333333336,10,3
17,Param_RGCN,0.10866666666666668,10,3
0,GAT_E-GAT,0.42733333333333334,15,1
1,GAT_RGCN,0.36366666666666675,15,1
2,GCN_E-GAT,0.4073333333333333,15,1
3,GCN_RGCN,0.38733333333333336,15,1
4,Param_E-GAT,0.4123333333333334,15,1
5,Param_RGCN,0.3456666666666666,15,1
6,GAT_E-GAT,0.17566666666666667,15,2
7,GAT_RGCN,0.23700000000000002,15,2
8,GCN_E-GAT,0.18433333333333335,15,2
9,GCN_RGCN,0.23633333333333337,15,2
10,Param_E-GAT,0.20099999999999998,15,2
11,Param_RGCN,0.15033333333333335,15,2
12,GAT_E-GAT,0.17266666666666666,15,3
13,GAT_RGCN,0.20233333333333334,15,3
14,GCN_E-GAT,0.17333333333333334,15,3
15,GCN_RGCN,0.223,15,3
16,Param_E-GAT,0.16866666666666666,15,3
17,Param_RGCN,0.12133333333333333,15,3
0,GAT_E-GAT,0.4523333333333333,20,1
1,GAT_RGCN,0.377,20,1
2,GCN_E-GAT,0.4213333333333334,20,1
3,GCN_RGCN,0.39466666666666667,20,1
4,Param_E-GAT,0.4296666666666667,20,1
5,Param_RGCN,0.37066666666666664,20,1
6,GAT_E-GAT,0.19899999999999998,20,2
7,GAT_RGCN,0.26133333333333336,20,2
8,GCN_E-GAT,0.2106666666666667,20,2
9,GCN_RGCN,0.25266666666666665,20,2
10,Param_E-GAT,0.235,20,2
11,Param_RGCN,0.17233333333333334,20,2
12,GAT_E-GAT,0.18233333333333332,20,3
13,GAT_RGCN,0.2723333333333333,20,3
14,GCN_E-GAT,0.19066666666666668,20,3
15,GCN_RGCN,0.2703333333333333,20,3
16,Param_E-GAT,0.19533333333333336,20,3
17,Param_RGCN,0.136,20,3
