,Name,model_composition_fn_path,model_representation_fn_path,general_train_rule,train_epoch,train_valid_accuracy,train_loss,train_accuracy,train_rule_world,train_valid_loss,train_test_loss,train_test_accuracy
0,supervised/supervised_logic_baselines_7,codes.model.rgcn.rgcn.CompositionRGCNEncoder,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,rule_4,500,0.9075296372175216,0.03607748644426465,0.9898667275905608,rule_4,0.3677968569099903,3.636924922466278,0.5429013967514038
1,supervised/supervised_logic_baselines_9,codes.model.rgcn.rgcn.CompositionRGCNEncoder,codes.model.gcn.gcn.RepresentationGCNEncoder,rule_4,500,0.9053744673728944,0.04551846850663424,0.9826631426811221,rule_4,0.36522953212261206,4.836135983467101,0.5099676698446274
2,supervised/supervised_logic_ov_all_26,codes.model.gat.edge_gat.GatedGatEncoder,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,rule_48,500,0.9939385801553726,0.01597412417177111,0.9953125,rule_48,0.03679088084027171,1.0091309994459152,0.8082569986581802
3,supervised/supervised_logic_baselines_0,codes.model.gat.edge_gat.GatedGatEncoder,codes.model.models.Param,rule_48,500,0.9951171875,0.00899440459907055,0.9965073525905608,rule_48,0.025329585245344788,1.0352528393268583,0.8153960108757019
4,supervised/supervised_logic_baselines_13,codes.model.rgcn.rgcn.CompositionRGCNEncoder,codes.model.models.Param,rule_14,500,0.8708917051553726,0.13181211166083812,0.9595588237047196,rule_14,0.3942735716700554,4.008388340473175,0.3429418131709099
5,supervised/supervised_logic_ov_all_32,codes.model.gat.edge_gat.GatedGatEncoder,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,rule_4,500,0.9808391630649568,0.029739579558372493,0.990234375,rule_4,0.049701005220413215,2.0023036897182465,0.6225417554378511
6,supervised/supervised_logic_ov_all_11,codes.model.gat.edge_gat.GatedGatEncoder,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,rule_14,500,0.9388133138418198,0.053975848481059074,0.9801470577716828,rule_14,0.13286716490983966,3.6359235644340515,0.4089102894067764
7,supervised/supervised_logic_baselines_2,codes.model.rgcn.rgcn.CompositionRGCNEncoder,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,rule_48,500,0.9650121182203292,0.025153645174577837,0.9921875,rule_48,0.1956954374909401,1.8512877821922304,0.7429620176553726
8,supervised/supervised_logic_baselines_14,codes.model.rgcn.rgcn.CompositionRGCNEncoder,codes.model.gcn.gcn.RepresentationGCNEncoder,rule_14,500,0.8893453627824783,0.04202999034896493,0.9858111202716828,rule_14,0.5250278934836388,8.048481702804565,0.3467470332980156
9,supervised/supervised_logic_baselines_11,codes.model.gat.edge_gat.GatedGatEncoder,codes.model.gcn.gcn.RepresentationGCNEncoder,rule_14,500,0.9520137310028076,0.04811696708202362,0.9799747258424759,rule_14,0.10903669707477093,3.724035680294037,0.4812432676553726
10,supervised/supervised_logic_baselines_1,codes.model.gat.edge_gat.GatedGatEncoder,codes.model.gcn.gcn.RepresentationGCNEncoder,rule_48,500,0.9949151426553726,0.009149442962370812,0.9974609375,rule_48,0.02999590942636132,0.9154437035322188,0.8333782255649567
11,supervised/supervised_logic_baselines_10,codes.model.gat.edge_gat.GatedGatEncoder,codes.model.models.Param,rule_14,500,0.9610048532485962,0.027510978654026984,0.9914522051811221,rule_14,0.1022767908871174,4.208272099494933,0.4357825964689255
12,supervised/supervised_logic_baselines_3,codes.model.rgcn.rgcn.CompositionRGCNEncoder,codes.model.models.Param,rule_48,500,0.9509361535310744,0.11066628806293012,0.9646714150905608,rule_48,0.16089140251278874,1.114697962999344,0.7576441317796707
13,supervised/supervised_logic_baselines_8,codes.model.rgcn.rgcn.CompositionRGCNEncoder,codes.model.models.Param,rule_4,500,0.9215045720338821,0.09429898746311664,0.9705307900905608,rule_4,0.24174780398607254,2.1744925379753117,0.5915611535310745
14,supervised/supervised_logic_baselines_4,codes.model.rgcn.rgcn.CompositionRGCNEncoder,codes.model.gcn.gcn.RepresentationGCNEncoder,rule_48,500,0.9531923532485962,0.03186462800949812,0.9902573525905608,rule_48,0.22547592222690585,2.165931701660156,0.7437701970338821
15,supervised/supervised_logic_baselines_6,codes.model.gat.edge_gat.GatedGatEncoder,codes.model.gcn.gcn.RepresentationGCNEncoder,rule_4,500,0.9817147105932236,0.02210361678153276,0.9923828125,rule_4,0.05480540543794632,2.2460457682609563,0.6443292051553726
16,supervised/supervised_logic_baselines_5,codes.model.gat.edge_gat.GatedGatEncoder,codes.model.models.Param,rule_4,500,0.9806371182203292,0.01597140352241695,0.994140625,rule_4,0.05997028201818466,2.2062966227531438,0.6361126005649567
17,supervised/supervised_logic_baselines_12,codes.model.rgcn.rgcn.CompositionRGCNEncoder,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,rule_14,500,0.901872307062149,0.03740826975554227,0.9904296875,rule_14,0.38920606672763824,5.254907011985778,0.36553744226694107
